id	node1	label	node2
Q3534556	P7598	"adding a new statement"	Q3534556-P7598-1
Q3534557-P7598-1	Q3534557	P7598	"\\\\relative c\\' {c des ees fis g aes bes c \\\\bar \\"\\|.\\"} \\\\addlyrics{S R₁ G₂ M₂ P D₁ N₂ Ṡ}"
Q3534557-P7599-1	Q3534557	P7599	"\\\\relative c\\' {c\\' bes aes g fis ees des c \\\\bar \\"\\|.\\"} \\\\addlyrics{Ṡ N₂ D₁ P M₂ G₂ R₁ S}"
Q58233594-P6883-1	Q58233594	P6883	"{\\\\override Score.BarLine.break-visibility = ##(#f#t#t)\\\\once\\\\override Staff.TimeSignature#\\'stencil = ##f<des\\'f\\'aes\\'ces\\'\\'>1}"
Q58233635-P6883-1	Q58233635	P6883	"{\\\\override Score.BarLine.break-visibility = ##(#f#t#t)\\\\once\\\\override Staff.TimeSignature#\\'stencil = ##f<d\\'f\\'aes\\'>1}"
Q59454573-P6883-1	Q59454573	P6883	"{\\\\override Score.BarLine.break-visibility = ##(#f#t#t)\\\\once\\\\override Staff.TimeSignature#\\'stencil = ##f<eis\\'gis\\'bis\\'dis\\'\\'>1}"
Q63143810-P6883-1	Q63143810	P6883	"{ \\\\key g \\\\major \\\\time 4/4 \\\\partial 4 \\\\small \\\\override Score.BarNumber #\\'transparent = ##t \\\\repeat volta 2 { d\\'4 g\\'4 a\\'4 b\\'4 b\\'4 a\\'4. (g\\'8) fis\\'4 d\\'4 e\\'8 (fis\\'8) g\\'4 g\\'4 fis\\'4 g\\'2 r4 }  b\\'8( c\\'\\'8) d\\'\\'4. e\\'\\'8 d\\'\\'4 c\\'\\'4 b\\'2 b\\'4 a\\'4 b\\'4 c\\'\\'4 d\\'\\'4 c\\'\\'8 (b\\'8) a\\'2 r4 a\\'4  b\\'4. b\\'8 g\\'4. g\\'8 a\\'2 fis\\'4 d\\'4 e\\'8 (fis\\'8) g\\'4 g\\'4 fis\\'4 g\\'2 r4 \\\\bar \\"\\|.\\" }\\\\addlyrics { \\\\small \\\\set stanza = #\\"1. \\" << { Nun will der Lenz uns grü -- ßen, von Mit -- tag weht es lau; } \\\\new Lyrics { \\\\small aus al -- len Wie -- sen sprie -- ßen die Blu -- men rot und blau. } >> Draus wob die brau -- ne Hei -- de sich ein Ge -- wand gar fein und lädt im Fest -- tags -- klei -- de zum Mai -- en -- tan -- ze ein. }"
Q66360554-P6883-1	Q66360554	P6883	"\\\\relative f\\' { f2 f4 g \\| a2 g4 a \\| bes2 a4 g \\| a1 \\\\bar\\"\\" \\\\break a2 a4 a \\| bes2 a4 g  \\| f2 e4 f \\| g1 \\\\bar\\"\\" \\\\break f2 f4 g \\| a2 g4 a \\| bes2 a4 g \\| a1 \\\\bar\\"\\" \\\\break a2 a4 a \\| g2 f  \\| g2 a4 g \\| f1 \\\\bar\\"\\" \\\\break }"
Q96253972-P6883-1	Q96253972	P6883	"{\\\\override Score.BarLine.break-visibility = ##(#f#t#t)\\\\once\\\\override Staff.TimeSignature#\\'stencil = ##f\\\\clef bass ceses,,,,1}"
Q96254094-P6883-1	Q96254094	P6883	"{\\\\override Score.BarLine.break-visibility = ##(#f#t#t)\\\\once\\\\override Staff.TimeSignature#\\'stencil = ##f\\\\clef bass fis,,1}"
Q96254094-P6883-2	P7599	"adding a new statement with property"	Q3534556-P7599-1
